frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
755,0.7036,0.6798,0.5893,0.7714,0.7116,0.8278,0.6417
760,0.7002,0.6768,0.6139,0.7507,0.7227,0.8131,0.624
765,0.6922,0.6692,0.5668,0.767,0.6893,0.8221,0.6387
770,0.7127,0.6769,0.6177,0.7658,0.738,0.8312,0.6463
775,0.7158,0.687,0.603,0.7973,0.7275,0.826,0.6538
780,0.7052,0.6867,0.6117,0.7665,0.7263,0.815,0.6251
785,0.7007,0.6847,0.5836,0.7867,0.7038,0.808,0.6374
790,0.709,0.6772,0.6333,0.7751,0.7406,0.795,0.6326
795,0.7072,0.6821,0.5988,0.8009,0.7203,0.8012,0.6397
800,0.7056,0.679,0.6143,0.7722,0.7268,0.8167,0.625
805,0.659,0.6106,0.5938,0.6892,0.7037,0.7765,0.5802
810,0.6327,0.5777,0.606,0.6528,0.6715,0.7381,0.5503
815,0.6542,0.6026,0.5562,0.6379,0.7503,0.7591,0.6189
820,0.6873,0.6451,0.5659,0.6649,0.8002,0.7728,0.675
825,0.6521,0.6189,0.5555,0.6296,0.7425,0.7355,0.6308
830,0.6241,0.606,0.531,0.6018,0.6986,0.7248,0.5825
835,0.6427,0.5571,0.5503,0.583,0.7657,0.8199,0.58
840,0.6262,0.5374,0.5097,0.5683,0.7961,0.7774,0.5686
845,0.6061,0.4989,0.4843,0.5419,0.7698,0.7934,0.5485
850,0.5887,0.4737,0.4796,0.5124,0.7675,0.7713,0.5281
855,0.5728,0.4553,0.4671,0.5006,0.7645,0.7444,0.5052
860,0.5767,0.4617,0.4703,0.5071,0.7654,0.7661,0.4898
865,0.5716,0.4536,0.4833,0.4921,0.7642,0.77,0.4665
870,0.5609,0.4502,0.4766,0.4848,0.7162,0.7546,0.4831
875,0.5619,0.4423,0.4676,0.4938,0.7172,0.7435,0.5068
880,0.5803,0.4485,0.468,0.5183,0.7654,0.7402,0.5411
885,0.5648,0.4406,0.4726,0.4972,0.7514,0.7291,0.4982
890,0.5542,0.4481,0.4702,0.4848,0.732,0.713,0.477
895,0.5505,0.4352,0.4621,0.4813,0.7415,0.7061,0.477
900,0.5487,0.4197,0.4541,0.4798,0.762,0.7038,0.4726
905,0.5454,0.4121,0.4579,0.4823,0.763,0.6812,0.4759
910,0.5364,0.4107,0.4579,0.4746,0.74,0.6721,0.4629
915,0.5289,0.4093,0.4621,0.4692,0.7141,0.6659,0.4528
920,0.546,0.4124,0.4794,0.486,0.7426,0.6928,0.4629
925,0.5365,0.4176,0.4809,0.4921,0.707,0.662,0.4592
930,0.5244,0.4229,0.4778,0.4879,0.664,0.6423,0.4516
935,0.5258,0.433,0.4832,0.4853,0.6628,0.6499,0.4407
940,0.528,0.4335,0.4786,0.4908,0.6535,0.6705,0.4413
945,0.5126,0.4378,0.4695,0.4761,0.63,0.6446,0.4179
950,0.5092,0.4334,0.4725,0.4688,0.627,0.6359,0.4174
955,0.5107,0.4326,0.4665,0.4832,0.6227,0.6268,0.4326
960,0.5128,0.4293,0.4543,0.4974,0.6275,0.6302,0.4377
965,0.5115,0.4224,0.4444,0.5107,0.6426,0.6147,0.434
970,0.5094,0.4271,0.4319,0.522,0.6462,0.5959,0.4333
975,0.4997,0.4212,0.4172,0.5231,0.6436,0.5813,0.4116
980,0.4952,0.4198,0.4093,0.5133,0.6446,0.5679,0.4164
985,0.4726,0.4286,0.3968,0.4716,0.5818,0.5565,0.4002
990,0.4794,0.4443,0.3934,0.4981,0.5686,0.5439,0.4282
995,0.4965,0.4563,0.4083,0.5153,0.5746,0.5788,0.4459
1000,0.5262,0.4786,0.445,0.5445,0.6114,0.6201,0.4576
1005,0.483,0.4592,0.4056,0.5126,0.4743,0.6139,0.4326
1010,0.4812,0.4733,0.3982,0.5151,0.4495,0.6164,0.4346
1015,0.544,0.514,0.4296,0.6373,0.5099,0.6678,0.5054
1020,0.656,0.593,0.6143,0.7389,0.6791,0.717,0.5935
1025,0.6277,0.5961,0.6503,0.7449,0.5677,0.6576,0.5494
1030,0.5888,0.5897,0.6887,0.6819,0.5127,0.5275,0.5324
1035,0.6138,0.5795,0.7668,0.7294,0.5539,0.5103,0.543
1040,0.6778,0.7502,0.8176,0.7451,0.618,0.5268,0.6091
1045,0.6642,0.744,0.8112,0.7343,0.5879,0.5449,0.5633
1050,0.6272,0.6948,0.7624,0.7038,0.5669,0.5096,0.5258
1055,0.6189,0.6825,0.7553,0.692,0.5554,0.5317,0.4965
1060,0.666,0.7115,0.7924,0.6868,0.5986,0.6129,0.5937
1065,0.6628,0.7487,0.7602,0.6649,0.61,0.5794,0.6137
1070,0.6682,0.773,0.7603,0.6424,0.6246,0.6048,0.604
1075,0.6801,0.792,0.7733,0.641,0.6331,0.6524,0.5888
1080,0.7062,0.7978,0.7961,0.6438,0.6708,0.762,0.5664
1085,0.6871,0.8163,0.735,0.6006,0.6484,0.7726,0.5499
1090,0.6819,0.7983,0.7228,0.5964,0.6199,0.8229,0.531
1095,0.7101,0.8344,0.7469,0.6462,0.6789,0.8223,0.5318
1100,0.7241,0.8429,0.7195,0.6226,0.7523,0.8581,0.549
1105,0.5654,0.5674,0.502,0.5232,0.6064,0.728,0.4656
