frame,delta
1125,0.1249
2175,0.1249
16915,0.1251
2795,0.1252
14225,0.1252
16925,0.1252
11810,0.126
14185,0.1262
6550,0.1264
11320,0.1266
4460,0.1269
9770,0.1269
12775,0.1269
7615,0.1271
6555,0.1272
13105,0.1274
2865,0.1276
1055,0.1277
5645,0.1279
14175,0.1279
11000,0.128
16910,0.128
8295,0.1281
13280,0.1281
6005,0.1283
9105,0.1285
7035,0.1287
10390,0.1289
13120,0.1289
16905,0.1289
905,0.129
6810,0.129
10715,0.1296
14190,0.1297
16745,0.1298
5225,0.1299
13640,0.1299
14215,0.1299
17520,0.1299
2910,0.13
9790,0.13
10745,0.1302
14170,0.1303
13110,0.1304
15905,0.1305
14145,0.1306
475,0.1314
16850,0.1316
14165,0.1323
6280,0.1332
16945,0.1332
7220,0.1333
6010,0.1339
1850,0.1342
9575,0.1345
7045,0.1353
17300,0.1354
2205,0.1356
2950,0.136
14240,0.1361
13295,0.1365
14150,0.1366
9550,0.1367
14210,0.1371
4270,0.1372
11240,0.1373
12760,0.1373
17475,0.1373
2305,0.1376
10705,0.1376
14205,0.1386
13505,0.1389
11260,0.1391
17555,0.1393
2320,0.1395
7540,0.1395
7360,0.1396
11035,0.1401
11040,0.1404
11275,0.1408
3035,0.1409
9445,0.1409
9325,0.141
17550,0.1411
13785,0.1412
6475,0.1413
7110,0.1413
15330,0.1415
6000,0.1416
17525,0.142
3030,0.1421
17515,0.1423
7640,0.1425
2335,0.1433
545,0.1434
9320,0.1436
5990,0.1438
9775,0.1442
7040,0.1444
5995,0.1445
1870,0.1446
2310,0.1447
3025,0.1447
5070,0.1447
14235,0.1447
5635,0.1448
6275,0.1448
9540,0.1453
12625,0.1453
1845,0.1455
17530,0.146
5810,0.1461
16845,0.1463
3020,0.1464
8300,0.1464
11640,0.1464
15635,0.1464
10725,0.1467
1785,0.1469
2580,0.1469
3005,0.147
3015,0.147
11345,0.1472
5495,0.1475
15640,0.1478
4195,0.1479
4985,0.1479
8340,0.1481
6815,0.1483
3040,0.1484
13635,0.1484
1840,0.1485
7105,0.1486
2575,0.1487
1140,0.1488
11045,0.1489
14155,0.149
13645,0.1492
12410,0.1493
3010,0.1495
10605,0.1495
1145,0.1498
3590,0.1498
3000,0.15
2520,0.1502
10595,0.1503
14220,0.1503
2955,0.151
7120,0.1527
11795,0.153
17345,0.1531
11325,0.1533
14160,0.1534
11300,0.1535
17435,0.1535
13115,0.1541
2215,0.1542
16720,0.1545
2905,0.1546
9735,0.1551
11790,0.1552
2210,0.1556
4465,0.1556
10720,0.1557
11295,0.1557
2995,0.1561
17335,0.1561
15365,0.1562
14730,0.1563
5630,0.1564
17360,0.1567
950,0.1569
1285,0.1569
13210,0.1569
14550,0.1569
7115,0.157
12405,0.1571
15870,0.1571
15375,0.1577
1755,0.1579
6605,0.158
11785,0.1582
12895,0.1582
2440,0.1583
9400,0.1584
11255,0.1584
14560,0.1585
6470,0.1586
17640,0.1586
2350,0.1588
16800,0.1588
17560,0.1589
11815,0.159
5980,0.1596
180,0.1601
9780,0.1601
5985,0.1603
550,0.1606
17355,0.1606
3955,0.1609
3435,0.161
3960,0.1611
7050,0.1611
9490,0.1615
17535,0.1615
7500,0.1617
12620,0.1618
17340,0.1618
16930,0.1619
14310,0.162
17350,0.162
2960,0.1621
6265,0.1625
16520,0.1626
1835,0.1628
3045,0.1634
4190,0.1636
2990,0.1639
2220,0.1641
12875,0.1642
9545,0.1643
9560,0.1643
100,0.1646
1130,0.1647
1765,0.1647
9395,0.1647
1615,0.1649
14480,0.165
15070,0.1651
17365,0.1653
6630,0.1656
12750,0.166
1290,0.1664
16665,0.1664
2965,0.1665
2975,0.1666
8945,0.1666
2970,0.1667
12355,0.1668
14375,0.1669
14540,0.1669
16935,0.1671
2840,0.1673
7100,0.1673
12720,0.1675
2980,0.1679
2985,0.1682
14555,0.1682
13630,0.1689
14785,0.1689
6655,0.1692
14570,0.1693
9350,0.1694
6180,0.1697
16715,0.1698
17510,0.1704
11250,0.1706
4215,0.1707
16955,0.1707
5790,0.1709
10700,0.1709
11405,0.171
6185,0.1714
11245,0.1714
16515,0.1714
1150,0.1717
11635,0.172
12755,0.172
11625,0.1722
14565,0.1722
16940,0.1722
11780,0.1726
11335,0.1729
14305,0.1729
7410,0.1732
12695,0.1732
11415,0.1733
5840,0.1736
9475,0.1737
15370,0.1739
3175,0.1742
12690,0.1742
2315,0.1743
16950,0.1744
5650,0.1745
12325,0.1745
3380,0.1746
16980,0.1746
9090,0.1752
17440,0.1753
11020,0.1754
11330,0.1757
14380,0.1759
14385,0.1761
13600,0.1764
17295,0.1764
8950,0.1765
12830,0.1766
11050,0.1768
11435,0.1768
3950,0.177
6425,0.177
12890,0.1771
17330,0.1772
14300,0.1773
1830,0.1774
11645,0.1775
12745,0.178
15325,0.1783
17545,0.1786
3945,0.1787
15755,0.179
17370,0.1792
9740,0.1793
3965,0.1794
13650,0.1794
7095,0.1799
14575,0.1799
17540,0.1801
11290,0.1802
17505,0.1802
12615,0.1803
13510,0.1803
12825,0.1804
15390,0.1805
12685,0.1807
2280,0.1812
6915,0.1813
6175,0.1815
7645,0.1815
11280,0.1817
7145,0.1819
7055,0.1824
7520,0.1825
8940,0.1826
9390,0.1827
3050,0.1829
11030,0.1829
11430,0.1829
11005,0.1831
3940,0.1838
12610,0.1838
16835,0.1838
12880,0.184
14340,0.184
16510,0.184
7495,0.1841
3440,0.1842
12605,0.1844
14295,0.1844
15075,0.1844
10395,0.1851
2260,0.1852
1160,0.1854
3585,0.1855
8775,0.1858
5815,0.1861
2890,0.1868
11775,0.1869
9310,0.1871
6420,0.1876
11025,0.1876
4155,0.1878
5515,0.1879
10600,0.1879
11440,0.188
11855,0.188
15600,0.188
300,0.1881
12885,0.1887
12370,0.1889
12365,0.1891
15125,0.1894
16500,0.1894
17060,0.1896
11620,0.1901
6260,0.1902
15335,0.1905
2285,0.1907
5040,0.1907
14370,0.1907
7090,0.1909
6925,0.191
2290,0.1911
9360,0.1911
9385,0.1911
2225,0.1912
5655,0.1912
1780,0.1913
14315,0.1917
1005,0.1918
6650,0.1918
16670,0.1918
16675,0.1927
9625,0.1928
10575,0.1929
12415,0.1934
17040,0.1938
6240,0.1939
16605,0.1939
13275,0.1941
5490,0.1943
1085,0.1947
2115,0.1948
6920,0.195
15630,0.1952
11420,0.1953
13595,0.1953
1040,0.1954
3170,0.1954
17320,0.1954
6455,0.1955
6805,0.1955
11820,0.1956
17375,0.1957
6190,0.1961
12375,0.1964
12715,0.1968
12705,0.197
9460,0.1971
5675,0.1973
16710,0.1973
3100,0.1975
15585,0.1976
15385,0.1978
3970,0.1979
12315,0.1979
11380,0.198
15065,0.198
16840,0.198
16445,0.1982
11630,0.1983
6600,0.1984
17045,0.1986
9665,0.1987
17280,0.1987
3110,0.199
3975,0.199
2275,0.1992
4150,0.1995
14320,0.1996
5440,0.1998
17325,0.2
11410,0.2002
17500,0.2004
11750,0.2005
9380,0.2008
8135,0.2009
11610,0.2011
14335,0.2011
5780,0.2012
16640,0.2016
17050,0.2016
16630,0.2018
14665,0.2019
16615,0.202
16635,0.202
17315,0.2022
12320,0.2023
15595,0.2027
3600,0.2028
7185,0.2029
11350,0.2029
6675,0.2031
10385,0.2031
14535,0.2032
3980,0.2033
14365,0.2034
12360,0.2036
15090,0.2036
13355,0.2039
2885,0.204
14580,0.2042
14330,0.2043
16480,0.2043
3430,0.2044
11015,0.2044
16600,0.2045
3595,0.2047
14530,0.2047
16610,0.2047
13260,0.2048
4980,0.2049
575,0.2051
760,0.2051
6195,0.2059
12335,0.206
16625,0.2062
9365,0.2065
16490,0.2065
6560,0.2066
6170,0.2069
15590,0.2069
5660,0.207
15380,0.207
5785,0.2071
11650,0.2071
6610,0.2073
9745,0.2075
12915,0.2075
16440,0.2077
2860,0.208
16620,0.208
11755,0.2081
3985,0.2082
14735,0.2084
16580,0.2085
3390,0.2086
11770,0.2086
8955,0.2087
10755,0.2089
5825,0.2092
17380,0.2092
7535,0.2094
15095,0.2095
14590,0.2097
16585,0.2097
11060,0.2098
15580,0.2098
2825,0.2099
17035,0.2102
14325,0.2103
4430,0.2104
6910,0.2106
660,0.2107
17385,0.2107
3105,0.211
11445,0.211
14620,0.211
1605,0.2111
16485,0.2112
1120,0.2117
3425,0.2118
6465,0.2118
10905,0.2118
12380,0.2118
12330,0.2119
14390,0.2119
16495,0.2119
1580,0.212
14525,0.2121
11010,0.2122
17400,0.2123
3490,0.2124
5435,0.2125
10590,0.2125
7310,0.2128
11615,0.213
7415,0.2131
3060,0.2133
3055,0.2135
7085,0.2135
1585,0.2136
3495,0.2137
15360,0.2137
5475,0.2141
11080,0.2142
3500,0.2143
14920,0.2143
11450,0.2151
14520,0.2151
3935,0.2153
10345,0.2153
12345,0.2157
17390,0.2158
9375,0.216
11235,0.2161
6855,0.2162
14585,0.2162
11425,0.2166
6640,0.2167
16505,0.2167
14650,0.2168
15420,0.2168
3095,0.217
6320,0.2171
9510,0.2172
5625,0.2174
5130,0.2175
11285,0.2175
9370,0.2176
14615,0.2176
14625,0.2178
3115,0.2181
4040,0.2181
5455,0.2182
6235,0.2182
12310,0.2183
11680,0.2185
12710,0.2185
16595,0.2185
555,0.2188
1875,0.2193
10610,0.2194
11605,0.2197
13625,0.2198
9815,0.2199
17290,0.22
625,0.2202
8790,0.2202
4990,0.2204
7355,0.2204
2270,0.2205
16645,0.2205
12700,0.2206
6645,0.2209
3990,0.221
13620,0.2212
3460,0.2213
6440,0.2213
3120,0.2215
13265,0.2216
15625,0.2216
13560,0.2217
1825,0.2218
10570,0.2218
5820,0.2219
3480,0.222
3485,0.222
665,0.2222
15620,0.2224
17395,0.2225
13555,0.2229
1000,0.2232
17430,0.2233
2800,0.2234
13655,0.2234
14870,0.2234
9480,0.2235
15315,0.2235
1240,0.2238
15415,0.2238
13570,0.2239
17055,0.224
6575,0.2241
7525,0.2244
10340,0.2245
3475,0.2246
7080,0.2246
14345,0.2246
6335,0.2247
9725,0.2247
